lat,lon,name,admin1,admin2,cc
27.6916,85.3165,Tripura Marg,,,
27.7443,85.3412,Namuna College of Fashion Technology,,,
27.7075,85.3018,Jagat Sundar Bwonekuthi Secondary School,,,
27.7463,85.3264,Tokha Rd,,,
27.7134,85.311,Sum Caf�,,,
27.6874,85.3319,'We' for Change,,,
27.7105,85.3274,Thirbum Marg,,,
27.706,85.318,Bag Bazar Sadak,,,
27.7081,85.3362,Pashupati Rd,,,
27.6789,85.2972,TU Gate,,,
27.6449,85.3365,Mount View Residency,,,
27.705,85.3181,BL Printing Press,,,
27.7104,85.3386,Paneku Marg,,,
27.7194,85.3147,Hanuman Chowk Marg,,,
27.7023,85.3078,Palpasa Hookah Lounge and Bar,,,
27.7229,85.3587,Tashi Delek Cafe,,,
27.677,85.3472,Ring Road,,,
27.6785,85.3132,Jhamsikhel Marg 210,,,
27.7375,85.3525,Ekatabasti Sahakari Sanstha,,,
27.7012,85.3039,Tabwa Marg,,,
27.7219,85.3208,Lazimpat Rd,,,
27.7307,85.3267,Do Cha Marg,,,
27.7475,85.3176,MAHENDRA RESIDENCE (Tulasi Niwas ),,,
27.6858,85.3068,Momotarou,,,
27.7364,85.3438,Annapurna Marga,,,
27.6933,85.3401,CIST College,,,
27.6587,85.3003,Highland Secondary Boarding School,,,
27.7061,85.3094,Indra Chowk,,,
27.6896,85.3202,Maternity Hospital Road,,,
27.7197,85.3375,Handigaun Marg,,,
27.6866,85.3431,Madan Bhandari Road,,,
27.7161,85.3124,Bhagawan Bahal Marg,,,
27.7182,85.3122,Leknath Marg,,,
27.6839,85.3124,Coffee Beans,,,
27.7089,85.3304,Pashupati Rd 866,,,
27.6756,85.3147,Pulchowk - Dhobighat Rd,,,
27.6681,85.3038,Hajur ko cheya pasal,,,
27.7139,85.3141,Tridevi Sadak,,,
27.6928,85.3386,Panchakumari Marg,,,
27.6994,85.2954,Tahachal Bagaicha Marg,,,
27.6914,85.3105,Bagamati Tripureswor Bridge,,,
27.7165,85.3038,Samyojan Marga,,,
27.6887,85.3325,Madan Bhandari Road,,,
27.6944,85.3373,Devkota Sadak,,,
27.6877,85.3165,Kupondole Rd,,,
27.7185,85.3177,Ananda Bhawan,,,
27.7022,85.3221,Putalisadak,,,
27.6734,85.3742,27�40'24.2022N 85�22'26.9872E,,,
27.6854,85.3348,Shankhamul Marga,,,
27.7249,85.2975,Banasthali Police Bit,,,
27.6662,85.3138,Damodar Marg,,,
27.6968,85.367,Manash Shrestha,,,
27.723,85.3215,JuJu Wears,,,
27.7052,85.3332,Sasto Kirana Pasal,,,
27.6734,85.3081,Pulchowk - Dhobighat Rd,,,
27.7191,85.3305,Bhatbhateni Apartments,,,
27.725,85.3226,Lazimpat Rd 1079,,,
27.7292,85.3831,Unnamed Road,,,
27.6789,85.3538,Unnamed Road,,,
27.6935,85.3189,Thapathali Road,,,
27.7214,85.3379,Handigaun Marg,,,
27.6853,85.3204,Jwagal 10,,,
27.7544,85.3276,Tokha Rd,,,
27.7013,85.3501,Jamuna Galli,,,
27.6731,85.313,Jawalakhel Sadak,,,
27.7412,85.3454,Himali Gau Rd 5,,,
27.6936,85.3217,Madan Bhandari Road,,,
27.7148,85.3439,Chandra Vinayak Marg,,,
27.67,85.3219,Rolwaling College,,,
27.7056,85.3268,Charkhal Rd,,,
27.7165,85.3124,Bhagawan Bahal Marg,,,
27.6851,85.3253,Park Ln,,,
27.7389,85.3092,Deepjyoti Ground Rd,,,
27.7313,85.3368,Indramaya Marg,,,
27.6882,85.3099,Kupondole,,,
27.6952,85.3442,Sadashiv Galli,,,
27.6577,85.3474,Lalitpur Balkumari Supliers,,,
27.6759,85.3144,Labim Mall,,,
27.7293,85.3265,Genesis Caf�,,,
27.7197,85.2867,Thulo Bharyang Bus Stop,,,
27.7013,85.3219,Padmodaya Secondary School,,,
27.6549,85.3311,Satdobato,,,
27.717,85.3088,Paknajol Marg,,,
27.709,85.3296,Shivani Kunja,,,
27.6853,85.3071,Didi-Baihini Marg,,,
27.7158,85.2938,Siddhicharan Marg,,,
27.6868,85.3174,Kupondole Rd 162,,,
27.7213,85.3178,Kapurdhara Marg,,,
27.7129,85.3177,Durbar Marg,,,
27.7166,85.2829,Ring Road,,,
27.6935,85.3259,Department of Food Technology And Quality Control,,,
27.6994,85.3124,Education Park,,,
27.6865,85.3083,Purano Bato,,,
27.7014,85.2967,Kichandho Marg,,,
27.6968,85.3365,Pujaprathistan Marga,,,
27.7356,85.3221,Ranibari Ring Rd Track S,,,
27.7087,85.3075,Chittadhar Marg,,,
27.6873,85.3113,Kupondole Ln,,,
27.6973,85.3283,Tanka Prasad Ghumti Sadak,,,
27.6999,85.3127,Nepal Telecom,,,
27.6492,85.3172,Shiva Chowk,,,
27.7214,85.3619,Boudha - Jorpati Rd,,,
27.7152,85.332,Taan,,,
27.6882,85.3376,Madan Bhandari Road,,,
27.7385,85.3418,Aakirti Marg,,,
27.7038,85.3103,Ranjana Galli,,,
27.6992,85.2845,Crowne Plaza Kathmandu-Soaltee,,,
27.7113,85.3085,Swayambhu Marg,,,
27.7212,85.3681,Boudha - Jorpati Rd,,,
27.7087,85.3147,Jamal Flyover Bridge,,,
27.7154,85.3042,Nepa Banquet,,,
27.6918,85.3236,St. Xavier's College,,,
27.6783,85.3122,Friends in High Places,,,
27.7058,85.3178,Bag Bazar Sadak,,,
27.7289,85.3465,Ring Road,,,
27.7171,85.3305,Swornim Boutique Hotel (P) Ltd.,,,
27.738,85.3523,Sampanna Marg,,,
27.694,85.3315,Pancha Kumari Mata Galli,,,
27.6906,85.3177,Bluebird Mall,,,
27.7061,85.3095,27�42'21.8135N 85�18'34.0758E,,,
27.6648,85.3296,Lukhusi Machagal,,,
27.6861,85.335,Nilgiri Pharmacy,,,
27.6665,85.3161,Manbhawan Rd Patan 44700 Nepal,,,
27.6876,85.3476,Symukta Tarkari Bazar,,,
27.7268,85.377,Saraswati Secondary School,,,
27.7197,85.331,Thirbam Sadak 1722,,,
27.6956,85.3534,Sinamangal Rd 44600,,,
27.7386,85.3401,Pratisthan Galli,,,
27.6867,85.3131,Kupondole Heights Road,,,
27.7244,85.3373,Banshidhar Marg 185,,,
27.7301,85.3255,The Venue Restaurant & Bar,,,
27.6885,85.3073,Nara Lakhe,,,
27.7184,85.3176,Ananda Bhawan,,,
27.7091,85.3156,Jamal Rd,,,
27.6735,85.3141,Rishab Biz Complex,,,
27.686,85.3159,Kids Campus Montessori,,,
27.7088,85.3155,Jamal Rd,,,
27.7036,85.3106,Koyla Lounge & Bar,,,
27.7161,85.3063,The Nepali Hive,,,
27.7417,85.3459,Kapan Marg,,,
27.6698,85.3105,Ekantakuna Rd 13,,,
27.683,85.2975,Dakchhikali Road,,,
27.7736,85.3549,Siddhartha Colony Road,,,
27.7164,85.3069,Kaldhara Marg,,,
27.7368,85.3376,Shanti Priya Marg,,,
27.7168,85.3496,Boudhanath Marg,,,
27.7472,85.3307,Sitaram Marga,,,
27.7057,85.324,Dilli Bazaar Sadak,,,
27.7216,85.3687,Boudha - Jorpati Rd,,,
27.7221,85.3208,Ruca Furniture,,,
27.7055,85.3423,House#268,,,
27.7065,85.3082,27�42'23.2985N 85�18'29.6809E,,,
27.7023,85.3167,Bhrikuti Mandap Marg,,,
27.6829,85.3006,Balkhu,,,
27.74,85.3371,Maharajgunj Rd,,,
27.6876,85.3444,Koseli School,,,
27.6715,85.3646,Balkot,,,
27.6988,85.3135,Kanti Path 421,,,
27.7082,85.3276,AECC Global,,,
27.7127,85.3268,Sama Marg,,,
27.7275,85.3306,Thirbam Sadak,,,
27.7019,85.3214,Pradarshani Marg,,,
27.6451,85.3189,Mitra Tole,,,
27.7184,85.3094,Metropolitan Police Circle,,,
27.7203,85.319,Bomzon Building,,,
27.7099,85.3327,Ist Clz,,,
27.6844,85.3242,Lane 2,,,
27.6954,85.3367,Ratopul Cyber & Stationery,,,
27.674,85.3139,Pulchowk Road,,,
27.7204,85.3191,Nursery Rd,,,
27.6746,85.36,Araniko Highway,,,
27.7376,85.3376,Shanti Priya Marg,,,
27.7009,85.3233,A.T. Complex,,,
27.7347,85.3166,Himalayan Bank,,,
27.7292,85.3362,Lamingtan Marg,,,
27.6948,85.3302,Narayaneshwor Marg,,,
27.7077,85.3258,Kamal Margha,,,
27.6871,85.337,Suruchi Marga,,,
27.6824,85.307,Millennium House,,,
27.7501,85.3267,Dhapasi,,,
27.6784,85.3207,YALA MAYA KENDRA CAFE,,,
27.7009,85.3417,Sinamangal Rd 44600,,,
27.7783,85.3579,Budhanilkantha,,,
27.7236,85.3287,Embassy Restaurant & Bar,,,
27.7321,85.3255,Krishna Dhara Marg,,,
27.712,85.3085,Paknajol Marg 43/33,,,
27.7102,85.3329,Gyaneshwor Marg,,,
27.6817,85.3553,Bhaktapur Road 16,,,
27.6933,85.3273,Bawarchi,,,
27.7032,85.3121,Muncha House,,,
27.6765,85.3114,Jhamsikhel Road 3,,,
27.6945,85.3074,Gautama Buddha Statue,,,
27.7466,85.3238,Greenland High School,,,
27.682,85.3162,Maitri Marg,,,
27.6835,85.337,Minbhawan Marg,,,
27.689,85.3496,Gauri Marg,,,
27.7146,85.3266,Sama Marga,,,
27.6937,85.3371,Chelsea International Academy,,,
27.7317,85.3585,Tenzing chowk,,,
27.7042,85.34,Jyoti Marg,,,
27.6732,85.3428,Ring Road,,,
27.6903,85.3221,Prasuti Griha Marg,,,
27.7209,85.3238,Neel Sarswoti Marg,,,
27.6824,85.3434,Puspa Marg,,,
27.671,85.3199,Lagankhel Satdobato Rd,,,
27.6585,85.3237,Satdobato,,,
27.7132,85.3507,Gaurighat Marg,,,
27.6783,85.3118,Jhamsikhel Road,,,
27.7348,85.3146,Samakhusi Ring Rd Track S,,,
27.6854,85.3293,Bhawana Marg,,,
27.7065,85.3227,Putali Sadak,,,
27.6886,85.3089,Everest Ad & Event Management,,,
27.7011,85.3167,Durbar Marg,,,
27.674,85.395,Guheswori Fuel Station,,,
27.7153,85.3038,Swayambhu Marg,,,
27.6825,85.3839,Bhaktapur Road,,,
